Id,Symbol,Market,SecurityNameTh,SecurityName
296,KTB,SET,ธนาคารกรุงไทย จำกัด (มหาชน),KRUNG THAI BANK PUBLIC COMPANY LIMITED
297,KTC,SET,บริษัท บัตรกรุงไทย จำกัด (มหาชน),KRUNGTHAI CARD PUBLIC COMPANY LIMITED
298,KTECH,SET,บริษัท เคเทค คอนสตรัคชั่น จำกัด (มหาชน),KTECH CONSTRUCTION PUBLIC COMPANY LIMITED
299,KTIS,SET,บริษัท เกษตรไทย อินเตอร์เนชั่นแนล ชูการ์ คอร์ปอเรชั่น จำกัด (มหาชน),KASET THAI INTERNATIONAL SUGAR CORPORATION PUBLIC COMPANY LIMITED
300,KWC,SET,บริษัท กรุงเทพโสภณ จำกัด (มหาชน),KRUNGDHEP SOPHON PUBLIC COMPANY LIMITED
301,KWG,SET,บริษัท คิง ไว กรุ๊ป (ประเทศไทย) จำกัด (มหาชน),KING WAI GROUP (THAILAND) PUBLIC COMPANY LIMITED
302,KYE,SET,บริษัท กันยงอีเลคทริก จำกัด (มหาชน),KANG YONG ELECTRIC PUBLIC COMPANY LIMITED
303,L&E,SET,บริษัท ไลท์ติ้ง แอนด์ อีควิปเมนท์ จำกัด (มหาชน),LIGHTING & EQUIPMENT PUBLIC COMPANY LIMITED
304,LALIN,SET,บริษัท ลลิล พร็อพเพอร์ตี้ จำกัด (มหาชน),LALIN PROPERTY PUBLIC COMPANY LIMITED
305,LANNA,SET,บริษัท ลานนารีซอร์สเซส จำกัด (มหาชน),THE LANNA RESOURCES PUBLIC COMPANY LIMITED
306,LDC,mai,บริษัท แอลดีซี เด็นทัล จำกัด (มหาชน),LDC DENTAL PUBLIC COMPANY LIMITED
307,LEE,SET,บริษัท ลีพัฒนาผลิตภัณฑ์ จำกัด (มหาชน),LEE FEED MILL PUBLIC COMPANY LIMITED
308,LH,SET,บริษัทแลนด์แอนด์เฮ้าส์ จำกัด (มหาชน),LAND AND HOUSES PUBLIC COMPANY LIMITED
309,LHBANK,SET,บริษัท แอล เอช ไฟแนนซ์เชียล กรุ๊ป จำกัด (มหาชน),LH FINANCIAL GROUP PUBLIC COMPANY LIMITED
310,LHHOTEL,SET,ทรัสต์เพื่อการลงทุนในสิทธิการเช่าอสังหาริมทรัพย์ แอล เอช โฮเทล,LH HOTEL LEASEHOLD REAL ESTATE INVESTMENT TRUST
311,LHK,SET,บริษัท โลหะกิจ เม็ททอล จำกัด (มหาชน),LOHAKIT METAL PUBLIC COMPANY LIMITED
312,LHPF,SET,กองทุนรวมอสังหาริมทรัพย์และสิทธิการเช่า แลนด์ แอนด์ เฮ้าส์,LAND AND HOUSES FREEHOLD AND LEASEHOLD PROPERTY FUND
313,LHSC,SET,ทรัสต์เพื่อการลงทุนในสิทธิการเช่าอสังหาริมทรัพย์ แอล เอช ช้อปปิ้ง เซ็นเตอร์,LH SHOPPING CENTERS LEASEHOLD REAL ESTATE INVESTMENT TRUST
314,LIT,mai,บริษัท ลีซ อิท จำกัด (มหาชน),LEASE IT PUBLIC COMPANY LIMITED
315,LOXLEY,SET,บริษัท ล็อกซเล่ย์ จำกัด (มหาชน),LOXLEY PUBLIC COMPANY LIMITED
316,LPH,SET,บริษัท โรงพยาบาล ลาดพร้าว จำกัด (มหาชน),LADPRAO GENERAL HOSPITAL PUBLIC COMPANY LIMITED
317,LPN,SET,บริษัท แอล.พี.เอ็น.ดีเวลลอปเมนท์ จำกัด (มหาชน),L.P.N. DEVELOPMENT PUBLIC COMPANY LIMITED
318,LRH,SET,บริษัท ลากูน่า รีสอร์ท แอนด์ โฮเท็ล จำกัด (มหาชน),LAGUNA RESORTS & HOTELS PUBLIC COMPANY LIMITED
319,LST,SET,บริษัท ล่ำสูง (ประเทศไทย) จำกัด (มหาชน),LAM SOON (THAILAND) PUBLIC COMPANY LIMITED
320,LTX,SET,บริษัท ลัคกี้เท็คซ์ (ไทย) จำกัด (มหาชน),LUCKYTEX (THAILAND) PUBLIC COMPANY LIMITED
321,LUXF,SET,กองทุนรวมอสังหาริมทรัพย์ลักซ์ชัวรี่,LUXURY REAL ESTATE INVESTMENT FUND
322,LVT,mai,บริษัท แอล.วี.เทคโนโลยี จำกัด (มหาชน),L.V. TECHNOLOGY PUBLIC COMPANY LIMITED
323,M,SET,บริษัท เอ็มเค เรสโตรองต์ กรุ๊ป จำกัด (มหาชน),MK RESTAURANT GROUP PUBLIC COMPANY LIMITED
324,M-CHAI,SET,บริษัท โรงพยาบาลมหาชัย จำกัด (มหาชน),MAHACHAI HOSPITAL PUBLIC COMPANY LIMITED
325,M-II,SET,กองทุนรวมอสังหาริมทรัพย์ และสิทธิการเช่า เอ็มเอฟซี อินดัสเตรียล อินเวสเมนท์,MFC INDUSTRIAL INVESTMENT PROPERTY AND LEASEHOLD FUND
326,M-PAT,SET,กองทุนรวมอสังหาริมทรัพย์เอ็มเอฟซี ป่าตอง เฮอริเทจ,MFC PATONG HERITAGE PROPERTY FUND
327,M-STOR,SET,กองทุนรวมอสังหาริมทรัพย์เอ็มเอฟซี-สแตรทิจิกสโตเรจฟันด์,MFC-STRATEGIC STORAGE FUND
328,MACO,SET,บริษัท มาสเตอร์ แอด จำกัด (มหาชน),MASTER AD PUBLIC COMPANY LIMITED
329,MAJOR,SET,บริษัท เมเจอร์ ซีนีเพล็กซ์ กรุ้ป จำกัด (มหาชน),MAJOR CINEPLEX GROUP PUBLIC COMPANY LIMITED
330,MAKRO,SET,บริษัท สยามแม็คโคร จำกัด (มหาชน),SIAM MAKRO PUBLIC COMPANY LIMITED
331,MALEE,SET,บริษัท มาลีกรุ๊ป จำกัด (มหาชน),MALEE GROUP PUBLIC COMPANY LIMITED
332,MANRIN,SET,บริษัท แมนดารินโฮเต็ล จำกัด (มหาชน),THE MANDARIN HOTEL PUBLIC COMPANY LIMITED
333,MATCH,SET,บริษัท แม็ทชิ่ง แม็กซิไมซ์ โซลูชั่น จำกัด (มหาชน),MATCHING MAXIMIZE SOLUTION PUBLIC COMPANY LIMITED
334,MATI,SET,บริษัท มติชน จำกัด (มหาชน),MATICHON PUBLIC COMPANY LIMITED
335,MAX,SET,บริษัท แมกซ์ เมทัล คอร์ปอเรชั่น จำกัด (มหาชน),MAX METAL CORPORATION PUBLIC COMPANY LIMITED
336,MBAX,mai,บริษัท มัลติแบกซ์ จำกัด (มหาชน),MULTIBAX PUBLIC COMPANY LIMITED
337,MBK,SET,บริษัท เอ็ม บี เค จำกัด (มหาชน),MBK PUBLIC COMPANY LIMITED
338,MBKET,SET,บริษัทหลักทรัพย์ เมย์แบงก์ กิมเอ็ง (ประเทศไทย) จำกัด (มหาชน),MAYBANK KIM ENG SECURITIES (THAILAND) PUBLIC COMPANY LIMITED
339,MC,SET,บริษัท แม็คกรุ๊ป จำกัด (มหาชน),MC GROUP PUBLIC COMPANY LIMITED
340,MCOT,SET,บริษัท อสมท จำกัด (มหาชน),MCOT PUBLIC COMPANY LIMITED
341,MCS,SET,บริษัท เอ็ม.ซี.เอส.สตีล จำกัด (มหาชน),M.C.S.STEEL PUBLIC COMPANY LIMITED
342,MDX,SET,บริษัท เอ็ม ดี เอ็กซ์ จำกัด (มหาชน),M.D.X. PUBLIC COMPANY LIMITED
343,MEGA,SET,บริษัท เมก้า ไลฟ์ไซแอ็นซ์ จำกัด (มหาชน),MEGA LIFESCIENCES PUBLIC COMPANY LIMITED
344,METCO,SET,บริษัทมูราโมโต้ อีเล็คตรอน (ประเทศไทย) จำกัด (มหาชน),MURAMOTO ELECTRON (THAILAND) PUBLIC COMPANY LIMITED
345,MFC,SET,บริษัทหลักทรัพย์จัดการกองทุน เอ็มเอฟซี จำกัด(มหาชน),MFC ASSET MANAGEMENT PUBLIC COMPANY LIMITED
346,MFEC,SET,บริษัท เอ็ม เอฟ อี ซี จำกัด (มหาชน),MFEC PUBLIC COMPANY LIMITED
347,MGT,mai,บริษัท เมกาเคม (ประเทศไทย) จำกัด (มหาชน),MEGACHEM (THAILAND) PUBLIC COMPANY LIMITED
348,MIDA,SET,บริษัท ไมด้า แอสเซ็ท จำกัด (มหาชน),MIDA ASSETS PUBLIC COMPANY LIMITED
349,MILL,SET,บริษัท มิลล์คอน สตีล จำกัด (มหาชน),MILLCON STEEL PUBLIC COMPANY LIMITED
350,MINT,SET,บริษัท ไมเนอร์ อินเตอร์เนชั่นแนล จำกัด (มหาชน),MINOR INTERNATIONAL PUBLIC COMPANY LIMITED
351,MIPF,SET,กองทุนรวมอสังหาริมทรัพย์มิลเลียนแนร์,MILLIONAIRE PROPERTY FUND
352,MIT,SET,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์เอ็มเอฟซีอินดัสเตรียล,MFC INDUSTRIAL REAL ESTATE INVESTMENT TRUST
353,MJD,SET,บริษัท เมเจอร์ ดีเวลลอปเม้นท์ จำกัด (มหาชน),MAJOR DEVELOPMENT PUBLIC COMPANY LIMITED
354,MJLF,SET,กองทุนรวมสิทธิการเช่าอสังหาฯ เมเจอร์ ซีนีเพล็กซ์ ไลฟ์สไตส์,MAJOR CINEPLEX LIFESTYLE LEASEHOLD PROPERTY FUND
355,MK,SET,บริษัท มั่นคงเคหะการ จำกัด (มหาชน),M.K. REAL ESTATE DEVELOPMENT PUBLIC COMPANY LIMITED
356,ML,SET,บริษัท ไมด้า ลิสซิ่ง จำกัด (มหาชน),MIDA LEASING PUBLIC CO.&sbquo; LTD.
357,MM,mai,บริษัท มัดแมน จำกัด (มหาชน),MUDMAN PUBLIC COMPANY LIMITED
358,MNIT,SET,กองทุนรวมอสังหาริมทรัพย์เอ็มเอฟซี-นิชดาธานี,MFC-NICHADA THANI PROPERTY FUND
359,MNIT2,SET,กองทุนรวมอสังหาริมทรัพย์นิชดาธานี 2,NICHADA THANI PROPERTY FUND 2
360,MNRF,SET,กองทุนรวมอสังหาริมทรัพย์มัลติเนชั่นแนลเรสซิเดนซ์ฟันด์,MULTI-NATIONAL RESIDENCE FUND
361,MODERN,SET,บริษัท โมเดอร์นฟอร์มกรุ๊ป จำกัด (มหาชน),MODERNFORM GROUP PUBLIC COMPANY LIMITED
362,MONO,SET,บริษัท โมโน เทคโนโลยี จำกัด (มหาชน),MONO TECHNOLOGY PUBLIC COMPANY LIMITED
363,MONTRI,SET,กองทุนรวมอสังหาริมทรัพย์แบบมีกรรมสิทธิ์ 101 มนตรี สโตร์เรจ,101 MONTRI STORAGE PROPERTY FUND
364,MOONG,mai,บริษัท มุ่งพัฒนา อินเตอร์แนชชั่นแนล จำกัด (มหาชน),MOONG PATTANA INTERNATIONAL PUBLIC COMPANY LIMITED
365,MPG,mai,บริษัท เอ็มพีจี คอร์ปอเรชั่น จำกัด (มหาชน),MPG CORPORATION PUBLIC COMPANY LIMITED
366,MPIC,SET,บริษัท เอ็ม พิคเจอร์ส เอ็นเตอร์เทนเม้นท์ จำกัด (มหาชน),M PICTURES ENTERTAINMENT PUBLIC COMPANY LIMITED
367,MSC,SET,บริษัท เมโทรซิสเต็มส์คอร์ปอเรชั่น จำกัด (มหาชน),METRO SYSTEMS CORPORATION PUBLIC COMPANY LIMITED
368,MTI,SET,บริษัท เมืองไทยประกันภัย จำกัด (มหาชน),MUANG THAI INSURANCE PUBLIC COMPANY LIMITED
369,MTLS,SET,บริษัท เมืองไทย ลิสซิ่ง จำกัด (มหาชน),MUANGTHAI LEASING PUBLIC COMPANY LIMITED
370,NBC,mai,บริษัท เนชั่น บรอดแคสติ้ง คอร์ปอเรชั่น จำกัด (มหาชน),NATION BROADCASTING CORPORATION PUBLIC COMPANY LIMITED
371,NC,SET,บริษัท นิวซิตี้ (กรุงเทพฯ) จำกัด (มหาชน),NEWCITY (BANGKOK) PUBLIC COMPANY LIMITED
372,NCH,SET,บริษัท เอ็น. ซี. เฮ้าส์ซิ่ง จำกัด (มหาชน),N. C. HOUSING PUBLIC COMPANY LIMITED
373,NCL,mai,บริษัท เอ็นซีแอล อินเตอร์เนชั่นแนล โลจิสติกส์ จำกัด (มหาชน),NCL INTERNATIONAL LOGISTICS PUBLIC COMPANY LIMITED
374,NDR,mai,บริษัท เอ็น.ดี.รับเบอร์ จำกัด (มหาชน),N.D. RUBBER PUBLIC COMPANY LIMITED
375,NEP,SET,บริษัท เอ็นอีพี อสังหาริมทรัพย์ และอุตสาหกรรม จำกัด (มหาชน),NEP REALTY AND INDUSTRY PUBLIC COMPANY LIMITED
376,NETBAY,mai,บริษัท เน็ตเบย์ จำกัด (มหาชน),NETBAY PUBLIC COMPANY LIMITED
377,NEW,SET,บริษัท วัฒนาการแพทย์ จำกัด (มหาชน),WATTANA KARNPAET PUBLIC COMPANY LIMITED
378,NEWS,mai,บริษัท นิวส์ เน็ตเวิร์ค คอร์ปอเรชั่น จำกัด (มหาชน),NEWS NETWORK CORPORATION PUBLIC COMPANY LIMITED
379,NFC,SET,บริษัท เอ็นเอฟซี จำกัด (มหาชน),NFC PUBLIC COMPANY LIMITED
380,NINE,mai,บริษัท เนชั่น อินเตอร์เนชั่นแนล เอ็ดดูเทนเมนท์ จำกัด (มหาชน),NATION INTERNATIONAL EDUTAINMENT PUBLIC COMPANY LIMITED
381,NKI,SET,บริษัท นวกิจประกันภัย จำกัด (มหาชน),THE NAVAKIJ INSURANCE PUBLIC COMPANY LIMITED
382,NMG,SET,บริษัท เนชั่น มัลติมีเดีย กรุ๊ป จำกัด (มหาชน),NATION MULTIMEDIA GROUP PUBLIC COMPANY LIMITED
383,NNCL,SET,บริษัท นวนคร จำกัด (มหาชน),NAVANAKORN PUBLIC COMPANY LIMITED
384,NOBLE,SET,บริษัท โนเบิล ดีเวลลอปเมนท์ จำกัด (มหาชน),NOBLE DEVELOPMENT PUBLIC COMPANY LIMITED
385,NOK,SET,บริษัท สายการบินนกแอร์ จำกัด (มหาชน),NOK AIRLINES PUBLIC COMPANY LIMITED
386,NPK,mai,บริษัท นิวพลัสนิตติ้ง จำกัด (มหาชน),NEW PLUS KNITTING PUBLIC COMPANY LIMITED
387,NPP,SET,บริษัท นิปปอน แพ็ค (ประเทศไทย) จำกัด (มหาชน),NIPPON PACK (THAILAND) PUBLIC COMPANY LIMITED
388,NSI,SET,บริษัทนำสินประกันภัย จำกัด (มหาชน),NAM SENG INSURANCE PUBLIC COMPANY LIMITED
389,NTV,SET,บริษัท โรงพยาบาลนนทเวช จำกัด (มหาชน),NONTHAVEJ HOSPITAL PUBLIC COMPANY LIMITED
390,NUSA,SET,บริษัท ณุศาศิริ จำกัด (มหาชน),NUSASIRI PUBLIC COMPANY LIMITED
391,NVD,mai,บริษัท เนอวานา ไดอิ จำกัด (มหาชน),NIRVANA DAII PUBLIC COMPANY LIMITED
392,NWR,SET,บริษัทเนาวรัตน์พัฒนาการ จำกัด (มหาชน),NAWARAT PATANAKARN PUBLIC COMPANY LIMITED
393,NYT,SET,บริษัท นามยง เทอร์มินัล จำกัด (มหาชน),NAMYONG TERMINAL PUBLIC COMPANY LIMITED
394,OCC,SET,บริษัท โอ ซี ซี จำกัด (มหาชน),O.C.C. PUBLIC COMPANY LIMITED
395,OCEAN,mai,บริษัท โอเชี่ยน คอมเมิรช จำกัด (มหาชน),OCEAN COMMERCE PUBLIC COMPANY LIMITED
396,OGC,SET,บริษัท โอเชียนกลาส จำกัด (มหาชน),OCEAN GLASS PUBLIC COMPANY LIMITED
397,OHTL,SET,บริษัท โอเอชทีแอล จำกัด (มหาชน),OHTL PUBLIC COMPANY LIMITED
398,OISHI,SET,บริษัท โออิชิ กรุ๊ป จำกัด (มหาชน),OISHI GROUP PUBLIC COMPANY LIMITED
399,ORI,SET,บริษัท ออริจิ้น พร็อพเพอร์ตี้ จำกัด (มหาชน),ORIGIN PROPERTY PUBLIC COMPANY LIMITED
400,OTO,mai,บริษัท วันทูวัน คอนแทคส์ จำกัด (มหาชน),ONE TO ONE CONTACTS PUBLIC COMPANY LIMITED
401,PACE,SET,บริษัท เพซ ดีเวลลอปเมนท์ คอร์ปอเรชั่น จำกัด (มหาชน),PACE DEVELOPMENT CORPORATION PUBLIC COMPANY LIMITED
402,PAE,SET,บริษัท พีเออี (ประเทศไทย) จำกัด (มหาชน),PAE (THAILAND) PUBLIC COMPANY LIMITED
403,PAF,SET,บริษัท แพนเอเซียฟุตแวร์ จำกัด (มหาชน),PAN ASIA FOOTWEAR PUBLIC COMPANY LIMITED
404,PAP,SET,บริษัท แปซิฟิกไพพ์ จำกัด (มหาชน),PACIFIC PIPE PUBLIC COMPANY LIMITED
405,PATO,SET,บริษัท พาโตเคมีอุตสาหกรรม จำกัด (มหาชน),PATO CHEMICAL INDUSTRY PUBLIC COMPANY LIMITED
406,PB,SET,บริษัท เพรซิเดนท์ เบเกอรี่ จำกัด (มหาชน),PRESIDENT BAKERY PUBLIC COMPANY LIMITED
407,PCSGH,SET,บริษัท พี.ซี.เอส.แมชีน กรุ๊ปโฮลดิ้ง จำกัด (มหาชน),P.C.S. MACHINE GROUP HOLDING PUBLIC COMPANY LIMITED
408,PDG,mai,บริษัท พรอดดิจิ จำกัด (มหาชน),PRODIGY PUBLIC COMPANY LIMITED
409,PDI,SET,บริษัท ผาแดงอินดัสทรี จำกัด (มหาชน),PADAENG INDUSTRY PUBLIC COMPANY LIMITED
410,PE,SET,บริษัท พรีเมียร์เอ็นเตอร์ไพรซ์ จำกัด (มหาชน),PREMIER ENTERPRISE PUBLIC COMPANY LIMITED
411,PERM,SET,บริษัท เพิ่มสินสตีลเวิคส์ จำกัด (มหาชน),PERMSIN STEEL WORKS PUBLIC COMPANY LIMITED
412,PF,SET,บริษัท พร็อพเพอร์ตี้ เพอร์เฟค จำกัด (มหาชน),PROPERTY PERFECT PUBLIC COMPANY LIMITED
413,PG,SET,บริษัท ประชาอาภรณ์ จำกัด (มหาชน),PEOPLE'S GARMENT PUBLIC COMPANY LIMITED
414,PHOL,mai,บริษัท ผลธัญญะ จำกัด (มหาชน),PHOL DHANYA PUBLIC COMPANY LIMITED
415,PICO,mai,บริษัท ปิโก (ไทยแลนด์) จำกัด (มหาชน),PICO THAILAND PUBLIC COMPANY LIMITED
416,PIMO,mai,บริษัท ไพโอเนียร์ มอเตอร์ จำกัด (มหาชน),PIONEER MOTOR PUBLIC COMPANY LIMITED
417,PJW,mai,บริษัท ปัญจวัฒนาพลาสติก จำกัด (มหาชน),PANJAWATTANA PLASTIC PUBLIC COMPANY LIMITED
418,PK,SET,บริษัท พัฒน์กล จำกัด (มหาชน),PATKOL PUBLIC COMPANY LIMITED
419,PL,SET,บริษัท ภัทรลิสซิ่ง จำกัด (มหาชน),PHATRA LEASING PUBLIC COMPANY LIMITED
420,PLANB,SET,บริษัท แพลน บี มีเดีย จำกัด (มหาชน),PLAN B MEDIA PUBLIC COMPANY LIMITED
421,PLANET,mai,บริษัท แพลนเน็ต คอมมิวนิเคชั่น เอเชีย จำกัด (มหาชน),PLANET COMMUNICATIONS ASIA PUBLIC COMPANY LIMITED
422,PLAT,SET,บริษัท เดอะ แพลทินัม กรุ๊ป จำกัด (มหาชน),THE PLATINUM GROUP PUBLIC COMPANY LIMITED
423,PLE,SET,บริษัท เพาเวอร์ไลน์ เอ็นจิเนียริ่ง จำกัด (มหาชน),POWER LINE ENGINEERING PUBLIC COMPANY LIMITED
424,PM,SET,บริษัท พรีเมียร์ มาร์เก็ตติ้ง จำกัด (มหาชน),PREMIER MARKETING PUBLIC COMPANY LIMITED
425,PMTA,SET,บริษัท พีเอ็ม โทรีเซน เอเชีย โฮลดิ้งส์ จำกัด (มหาชน),PM THORESEN ASIA HOLDINGS PUBLIC COMPANY LIMITED
426,POLAR,SET,บริษัท โพลาริส แคปปิตัล จำกัด (มหาชน),POLARIS CAPITAL PUBLIC COMPANY LIMITED
427,POMPUI,SET,บริษัท ผลิตภัณฑ์อาหารกว้างไพศาล จำกัด (มหาชน),KUANG PEI SAN FOOD PRODUCTS PUBLIC COMPANY LIMITED
428,POPF,SET,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์ไพร์มออฟฟิศ,PRIME OFFICE LEASEHOLD PROPERTY FUND
429,POST,SET,บริษัท บางกอก โพสต์ จำกัด (มหาชน),BANGKOK POST PUBLIC COMPANY LIMITED
430,PPF,SET,กองทุนรวมอสังหาริมทรัพย์ปิ่นทอง อินดัสเตรียล ปาร์ค,PINTHONG INDUSTRIAL PARK PROPERTY FUND
431,PPM,mai,บริษัท พรพรหมเม็ททอล จำกัด (มหาชน),PORN PROM METAL PUBLIC COMPANY LIMITED
432,PPP,SET,บริษัท พรีเมียร์ โพรดักส์ จำกัด (มหาชน),PREMIER PRODUCTS PUBLIC COMPANY LIMITED
433,PPS,mai,บริษัท โปรเจค แพลนนิ่ง เซอร์วิส จำกัด (มหาชน),PROJECT PLANNING SERVICE PUBLIC COMPANY LIMITED
434,PRAKIT,SET,บริษัท ประกิต โฮลดิ้งส์ จำกัด (มหาชน),PRAKIT HOLDINGS PUBLIC COMPANY LIMITED
435,PRANDA,SET,บริษัท แพรนด้า จิวเวลรี่ จำกัด (มหาชน),PRANDA JEWELRY PUBLIC COMPANY LIMITED
436,PREB,SET,บริษัท พรีบิลท์ จำกัด (มหาชน),PRE-BUILT PUBLIC COMPANY LIMITED
437,PRECHA,SET,บริษัท ปรีชากรุ๊ป จำกัด (มหาชน),PREECHA GROUP PUBLIC COMPANY LIMITED
438,PRG,SET,บริษัท ปทุมไรซมิล แอนด์ แกรนารี จำกัด (มหาชน),PATUM RICE MILL AND GRANARY PUBLIC COMPANY LIMTED
439,PRIN,SET,บริษัท ปริญสิริ จำกัด (มหาชน),PRINSIRI PUBLIC COMPANY LIMITED
440,PRINC,SET,บริษัท พริ้นซิเพิล แคปิตอล จำกัด (มหาชน),PRINCIPAL CAPITAL PUBLIC COMPANY LIMITED
441,PRM,SET,บริษัท พริมา มารีน จำกัด (มหาชน),PRIMA MARINE PUBLIC COMPANY LIMITED
442,PRO,SET,บริษัท โปรเฟสชั่นแนล เวสต์ เทคโนโลยี (1999) จำกัด (มหาชน),PROFESSIONAL WASTE TECHNOLOGY (1999) PUBLIC COMPANY LIMITED
443,PSH,SET,บริษัท พฤกษา โฮลดิ้ง จำกัด (มหาชน),PRUKSA HOLDING PUBLIC COMPANY LIMITED
444,PSL,SET,บริษัท พรีเชียส ชิพปิ้ง จำกัด (มหาชน),PRECIOUS SHIPPING PUBLIC COMPANY LIMITED
